,date,text
0,2019-12-30 22:09:50+00:00,@KFCFrance oui mais lui le poulet il ne la veut pas cette histoire. #pasdanimauxdansmonassiette
1,2019-12-30 20:09:10+00:00,@BurgerKingFR @KFCFrance Vous avez un endroit ou nous pouvons retrouver les restaurants ouvert demain soir S'IL VOUS PLAÎT !?
2,2019-12-30 19:48:35+00:00,@KFCFrance
3,2019-12-30 19:13:09+00:00,@KFCFrance y’a pas de soucis perso jpense que c’est moi qui voulais te demander 
4,2019-12-30 18:46:24+00:00,Salutations @KFCFrance le ticket de 15 mètres en papier pour 1 wrap et 5 tenders c'est pas un peu abusé pour mère nature ? 
5,2019-12-30 18:44:15+00:00,Bonne après-midi..... Le Monique de France 
6,2019-12-30 18:14:54+00:00,ToT mdrrr
7,2019-12-30 18:12:40+00:00,@PoliceNationale @EmmanuelMacron @fhollande @NicolasSarkozy @KFCFrance
8,2019-12-30 18:01:52+00:00,@KFCFrance c quoi la putain de recette c trop bon 
9,2019-12-30 16:43:50+00:00,Hey @sharonstone don't look any further. I 'd be glad to meet you in a KFC where ever you want for a vegan diner of course. Love from France #SharonStone
10,2019-12-30 16:16:40+00:00,@KFCFrance c’est normal que dans le nouveau magasin à Marseille ils font plus de cobette?
11,2019-12-30 15:51:41+00:00,"Today, and for the first time since becoming an economic migrant, I discovered something about France I dislike. I visited Châteauroux and was excited upon seeing a KFC! It’s the first KFC I’ve seen since coming here so that was lunch sorted..."
12,2019-12-30 15:31:42+00:00,L’appellation poulet Vegan me choque et puis allez chez KFC non merci 
13,2019-12-30 14:51:42+00:00,KFCうまかったぞい
14,2019-12-30 14:07:41+00:00,Alors @Ron404 tu penses que @KFCFrance c'est du poulet reconstitué ?
15,2019-12-30 11:58:38+00:00,"Le KFC de carca à chaque fois c’est le plus gros des scandales. 3 pelés et 40 min pour être servi, faudrai revoir le principe des Fast food @KFCFrance"
16,2019-12-30 10:40:32+00:00,Cheaters @KFC_India @kfc @yumbrands : your 7 days to share refund &amp; penalty policy. See you in court. @DavidNovakOGO will be party. @mokshc @kfcjamaica @KFCAustralia @kfc_canada @KFCINDONESIA @KFCFrance @KFCSA @kfcarabia @KFC_UKI @KFC_SG @KFC_jp @KFCcl @KFCNassau @kfc_stvincent
17,2019-12-30 09:50:27+00:00,31 décembre : le Président de KFC France présente ses voeux aux français https://www.yves.brette.biz/public/gif_et_autres_arts/poulet_show_le_President_de_KFC_France_presente_ses_voeux_aux_francais.gif https://www.yves.brette.biz/public/gif_et_autres_arts/poulet_show_le_President_de_KFC_France_presente_ses_voeux_aux_francais.gif
18,2019-12-30 09:43:25+00:00,KFC in France is smackin
19,2019-12-30 01:57:11+00:00,KFC really gotta hit different in France cause I tasted that shit once and I don’t know how y’all like it 
20,2019-12-30 01:48:38+00:00,"""Bonjour madame, je voudrais une glace noire et blanche!"" ... Un sundae chocolat j'imagine... #KFC #KFCfrance #ParfoisOnDoitJouerAuxDevinettesCestMarrant"
21,2019-12-30 01:46:23+00:00,"Les clients qui viennent se plaindre que leur table est sale sont ceux-là même qui vont partir en laissant une porcherie derrière eux... Apparemment, ils savent pas à quoi sert une poubelle... Que quelqu'un leur apprenne SVP, help!! #KFC #KFCfrance #LesGensSontDesPorcs"
22,2019-12-30 01:41:26+00:00,"Quand t'as fini ton service et qu'un client arrive, que tu vas voir les managers derrière qui discutent, que tu leur dis que quelqu'un attend et qu'on te répond ""Bah... il attendra"" Désolée pour votre café madame... #KFC #KFCfrance"
23,2019-12-30 01:37:18+00:00,"""Bonjour! Je voudrais un sandwich avec du poulet!"" Va falloir m'en dire un peu plus, monsieur... #KFC #KFCfrance #LesClientsIlsCroientTropQuonEstDevins"
24,2019-12-29 21:30:34+00:00,@KFCFrance vous etes sah ? vous m’avez oublie 1 tenders
25,2019-12-29 21:09:30+00:00,I love that KFC in Québec is called PFK (Poulet Frit Kentucky) but in France it’s called KFC https://twitter.com/rising/status/1210921727850467329
26,2019-12-29 20:36:46+00:00,I don't know about France but have y'all read the story of how popular KFC is in JAPAN?? I 
27,2019-12-29 20:05:52+00:00,Les livreurs @ubereats_fr et @Deliveroo_FR foutent un sacré bordel chez @mcdonalds_paris !! Et pareil chez @KFCFrance ! Difficile de récupérer sa commande au comptoir et difficile de passer à cause de leurs scooters garés juste devant l’entrée 
28,2019-12-29 20:00:10+00:00,@KFCFrance
29,2019-12-29 18:34:08+00:00,@KFCFrance 10 euros pour aller au tacos après ce n'est pas rentable. Je vous hais
30,2019-12-29 17:49:02+00:00,HEUREUSE. FIN D’. ANNÉE... LE MONIQUE DE FRANCE 
31,2019-12-29 16:33:03+00:00,Comment @KFCFrance a osé cette infamie On touche pas au maître suprême du mal de @StarWarsFR impunément 
32,2019-12-29 15:20:01+00:00,@KFCFrance remettez les pailles en plastiques ! On s'en balec de l'écologie
33,2019-12-29 13:33:25+00:00,"@KFCFrance 27 minutes to get my order of 4 pcs of chicken, 5 tenders and original wrapper. Talk about bad service KFC Les Halles is the worst!"
